"Guid","ContentLocation","ContentUrl","Description","ExternalDocumentInfo1","ExternalDocumentInfo2","IsAssetEnabled","IsMajorVersion","Origin","PathOnClient","ReasonForChange","SharingOption","SharingPrivacy","TagCsv","Title"
06d0d1fa-badc-4373-8427-0013d824a86b,S,"#N/A","#N/A","#N/A","#N/A",true,true,H,ProdlyLogo.png,"#N/A",A,N,"#N/A",ProdlyLogo
4fe19009-9c4b-48eb-94e3-8779c2c34ce6,S,"#N/A","#N/A","#N/A","#N/A",true,true,H,Prodly_Logo_Final.png,"#N/A",A,N,"#N/A",Prodly_Logo_Final
56397983-c660-45c3-b818-ea45f7e62fbb,S,"#N/A",Audit report a088b00001F6EmVAAV,"#N/A","#N/A",false,true,C,report_a088b00001F6EmVAAV.html,"#N/A",A,N,"#N/A",Audit report a088b00001F6EmVAAV
5eade145-c5c9-46a3-9867-1d6809a91920,S,"#N/A",Prodly AppOps export for data set Test3 generated on 2022-06-29 16:19:43,"#N/A","#N/A",false,true,H,Prodly Data set Export - 2022-06-29 16:19:43.json,"#N/A",A,N,"#N/A",Prodly Data set Export - 2022-06-29 16:19:43
83575e76-5021-4592-8f63-71f4f255d4bc,S,"#N/A","#N/A","#N/A","#N/A",true,true,H,Logo 2020.png,"#N/A",A,N,"#N/A",Logo 2020
89576229-3c81-4d14-9e6d-12098f835508,S,"#N/A",Prodly AppOps export for deployment plan Salesforce CPQ 218 &> VEID Deployment Plan generated on 2022-06-29 16:52:55,"#N/A","#N/A",false,true,H,Prodly Deployment Plan Export - 2022-06-29 16:52:55.json,"#N/A",A,N,"#N/A",Prodly Deployment Plan Export - 2022-06-29 16:52:55
bca43f58-b20b-42e9-88fd-64f4aa90943a,S,"#N/A","#N/A","#N/A","#N/A",true,true,H,ProdlyMooverLogo.png,"#N/A",A,N,"#N/A",ProdlyMooverLogo
c617fb58-47f7-4568-ae84-9588e51b6a2b,S,"#N/A",Prodly AppOps export for data set template dataset generated on 2022-06-22 16:52:25,"#N/A","#N/A",false,true,H,Prodly Data set Export - 2022-06-22 16:52:25.json,"#N/A",A,N,"#N/A",Prodly Data set Export - 2022-06-22 16:52:25
c73906b9-ea7f-4f8a-913f-c0ad1a37abfc,S,"#N/A",Audit report a088b00001F6DujAAF,"#N/A","#N/A",false,true,C,report_a088b00001F6DujAAF.html,"#N/A",A,N,"#N/A",Audit report a088b00001F6DujAAF
d564d9d3-eb83-49be-9444-22361dc46eb8,S,"#N/A",Prodly AppOps export for data set order_asnaf generated on 2022-06-22 16:49:06,"#N/A","#N/A",false,true,H,Prodly Data set Export - 2022-06-22 16:49:06.json,"#N/A",A,N,"#N/A",Prodly Data set Export - 2022-06-22 16:49:06
eb84aee6-001a-4572-b9c7-9fcf48e08a2c,S,"#N/A","#N/A","#N/A","#N/A",true,true,H,Prodly_Logo_Final.png,"#N/A",A,N,"#N/A",Prodly_Logo_Final
